data,hora,bpm
25/10/2023,22:27:57,56
25/10/2023,22:28:12,60
25/10/2023,22:28:27,52
25/10/2023,22:28:42,56
25/10/2023,22:28:57,56
25/10/2023,22:29:12,76
25/10/2023,22:29:27,52
25/10/2023,22:29:42,68
25/10/2023,22:29:57,52
25/10/2023,22:30:12,60
25/10/2023,22:30:27,56
25/10/2023,22:30:42,60
25/10/2023,22:30:57,92
25/10/2023,22:31:12,68
25/10/2023,22:31:27,84
25/10/2023,22:31:42,60
25/10/2023,22:31:57,96
25/10/2023,22:32:12,72
25/10/2023,22:32:27,80
25/10/2023,22:32:42,76
25/10/2023,22:32:57,84
25/10/2023,22:33:12,68
25/10/2023,22:33:27,84
25/10/2023,22:33:42,76
25/10/2023,22:33:57,80
25/10/2023,22:34:12,84
25/10/2023,22:34:27,76
25/10/2023,22:34:42,84
25/10/2023,22:34:57,80
25/10/2023,22:35:12,80
25/10/2023,22:35:27,76
25/10/2023,22:35:42,88
25/10/2023,22:35:57,72
25/10/2023,22:36:12,80
25/10/2023,22:36:27,76
25/10/2023,22:36:42,76
25/10/2023,22:36:58,76
25/10/2023,22:37:12,72
25/10/2023,22:37:27,96
25/10/2023,22:37:43,88
25/10/2023,22:37:57,88
25/10/2023,22:38:12,92
25/10/2023,22:38:28,48
25/10/2023,22:38:43,96
25/10/2023,22:38:58,92
